pair,entry_ts,exit_ts,r
CAD_CHF,2016-01-05 10:00:00,2016-01-06 06:00:00,1.0
CAD_CHF,2016-01-13 06:00:00,2016-01-13 18:00:00,1.0
USD_JPY,2016-01-15 10:00:00,2016-01-19 10:00:00,1.0
CAD_CHF,2016-01-19 02:00:00,2016-01-19 14:00:00,1.0
USD_JPY,2016-01-20 02:00:00,2016-01-22 02:00:00,1.0
CHF_JPY,2016-01-20 14:00:00,2016-01-29 02:00:00,1.0
CAD_CHF,2016-01-20 22:00:00,2016-01-21 10:00:00,-1.0
CAD_CHF,2016-01-21 10:00:00,2016-01-21 14:00:00,-1.0
CHF_JPY,2016-01-21 10:00:00,2016-01-21 18:00:00,1.0
CAD_CHF,2016-01-22 10:00:00,2016-01-26 06:00:00,1.0
EUR_CAD,2016-01-22 18:00:00,2016-01-25 14:00:00,1.0
CAD_CHF,2016-01-26 10:00:00,2016-01-26 14:00:00,-1.0
CAD_CHF,2016-01-29 02:00:00,2016-01-29 14:00:00,-1.0
CAD_CHF,2016-01-29 18:00:00,2016-02-01 14:00:00,1.0
CAD_CHF,2016-02-03 10:00:00,2016-02-03 14:00:00,1.0
CAD_CHF,2016-02-03 22:00:00,2016-02-04 14:00:00,1.0
USD_JPY,2016-02-04 14:00:00,2016-02-08 14:00:00,-1.0
USD_JPY,2016-02-08 14:00:00,2016-02-09 02:00:00,-1.0
USD_JPY,2016-02-08 22:00:00,2016-02-10 14:00:00,-1.0
USD_JPY,2016-02-09 10:00:00,2016-02-10 18:00:00,-1.0
USD_JPY,2016-02-10 18:00:00,2016-02-11 06:00:00,-1.0
CHF_JPY,2016-02-10 18:00:00,2016-02-11 06:00:00,-1.0
USD_JPY,2016-02-11 14:00:00,2016-02-12 14:00:00,1.0
CAD_CHF,2016-02-12 14:00:00,2016-02-15 10:00:00,-1.0
CAD_CHF,2016-02-15 10:00:00,2016-02-16 06:00:00,-1.0
CAD_CHF,2016-02-16 02:00:00,2016-02-16 14:00:00,1.0
CAD_CHF,2016-02-17 10:00:00,2016-02-17 14:00:00,-1.0
EUR_CAD,2016-02-17 14:00:00,2016-02-22 10:00:00,-1.0
EUR_CAD,2016-02-18 10:00:00,2016-02-18 22:00:00,1.0
CHF_JPY,2016-02-18 22:00:00,2016-02-22 22:00:00,-1.0
CHF_JPY,2016-02-19 06:00:00,2016-02-22 22:00:00,-1.0
CAD_CHF,2016-02-22 10:00:00,2016-02-23 10:00:00,1.0
CHF_JPY,2016-02-22 18:00:00,2016-02-25 18:00:00,1.0
CHF_JPY,2016-02-23 06:00:00,2016-02-25 02:00:00,1.0
USD_JPY,2016-02-24 02:00:00,2016-02-25 14:00:00,1.0
USD_JPY,2016-02-24 14:00:00,2016-02-25 02:00:00,1.0
CAD_CHF,2016-02-25 06:00:00,2016-02-25 10:00:00,-1.0
EUR_CAD,2016-02-25 10:00:00,2016-02-26 10:00:00,-1.0
CAD_CHF,2016-02-26 06:00:00,2016-02-29 14:00:00,-1.0
EUR_CAD,2016-02-26 06:00:00,2016-02-29 10:00:00,-1.0
CAD_CHF,2016-02-29 10:00:00,2016-03-07 06:00:00,-1.0
EUR_CAD,2016-02-29 10:00:00,2016-03-01 14:00:00,-1.0
CAD_CHF,2016-03-01 10:00:00,2016-03-07 06:00:00,-1.0
EUR_CAD,2016-03-01 14:00:00,2016-03-04 06:00:00,1.0
CAD_CHF,2016-03-04 14:00:00,2016-03-09 14:00:00,-1.0
CAD_CHF,2016-03-07 06:00:00,2016-03-08 14:00:00,1.0
CHF_JPY,2016-03-09 10:00:00,2016-03-09 14:00:00,1.0
CAD_CHF,2016-03-09 10:00:00,2016-03-09 22:00:00,-1.0
EUR_CAD,2016-03-10 10:00:00,2016-03-10 14:00:00,1.0
CAD_CHF,2016-03-16 17:00:00,2016-03-23 13:00:00,1.0
USD_JPY,2016-03-17 01:00:00,2016-03-17 09:00:00,-1.0
CAD_CHF,2016-03-17 05:00:00,2016-03-17 13:00:00,1.0
CAD_CHF,2016-03-22 13:00:00,2016-03-23 13:00:00,1.0
CAD_CHF,2016-03-28 13:00:00,2016-03-31 13:00:00,-1.0
CAD_CHF,2016-03-29 09:00:00,2016-04-01 09:00:00,1.0
CAD_CHF,2016-03-30 09:00:00,2016-04-01 09:00:00,1.0
USD_JPY,2016-04-01 13:00:00,2016-04-05 05:00:00,-1.0
AUD_CAD,2016-04-01 13:00:00,2016-04-05 09:00:00,1.0
CHF_JPY,2016-04-05 05:00:00,2016-04-07 05:00:00,-1.0
CHF_JPY,2016-04-06 05:00:00,2016-04-07 05:00:00,-1.0
CHF_JPY,2016-04-06 13:00:00,2016-04-07 05:00:00,-1.0
USD_JPY,2016-04-06 13:00:00,2016-04-07 05:00:00,-1.0
CAD_CHF,2016-04-08 09:00:00,2016-04-12 13:00:00,-1.0
USD_JPY,2016-04-08 17:00:00,2016-04-13 05:00:00,1.0
CAD_CHF,2016-04-11 09:00:00,2016-04-12 13:00:00,-1.0
EUR_CAD,2016-04-12 09:00:00,2016-04-12 17:00:00,-1.0
CAD_CHF,2016-04-12 13:00:00,2016-04-13 13:00:00,-1.0
CAD_CHF,2016-04-15 01:00:00,2016-04-17 21:00:00,1.0
CHF_JPY,2016-04-17 21:00:00,2016-04-18 13:00:00,1.0
CAD_CHF,2016-04-19 17:00:00,2016-04-20 13:00:00,-1.0
CAD_CHF,2016-04-20 13:00:00,2016-05-03 05:00:00,1.0
CAD_CHF,2016-04-22 09:00:00,2016-04-29 17:00:00,1.0
EUR_CAD,2016-04-22 09:00:00,2016-04-29 17:00:00,1.0
CAD_CHF,2016-04-22 17:00:00,2016-04-29 13:00:00,1.0
EUR_CAD,2016-04-22 17:00:00,2016-04-29 13:00:00,1.0
CAD_CHF,2016-04-26 13:00:00,2016-04-29 17:00:00,1.0
USD_JPY,2016-04-28 05:00:00,2016-04-29 05:00:00,-1.0
CHF_JPY,2016-04-28 05:00:00,2016-04-29 17:00:00,-1.0
CHF_JPY,2016-04-28 17:00:00,2016-04-29 17:00:00,-1.0
USD_JPY,2016-04-28 17:00:00,2016-04-29 05:00:00,-1.0
CHF_JPY,2016-04-29 17:00:00,2016-05-03 21:00:00,1.0
CAD_CHF,2016-05-10 13:00:00,2016-05-17 01:00:00,-1.0
CAD_CHF,2016-05-12 09:00:00,2016-05-26 05:00:00,-1.0
CAD_CHF,2016-05-16 13:00:00,2016-05-26 09:00:00,-1.0
CAD_CHF,2016-05-17 01:00:00,2016-05-19 13:00:00,1.0
EUR_CAD,2016-05-17 01:00:00,2016-05-19 09:00:00,1.0
CHF_JPY,2016-05-19 13:00:00,2016-05-30 05:00:00,1.0
CHF_JPY,2016-05-23 05:00:00,2016-05-30 01:00:00,1.0
CAD_CHF,2016-05-24 13:00:00,2016-05-26 05:00:00,-1.0
CAD_CHF,2016-05-25 17:00:00,2016-06-01 13:00:00,1.0
EUR_CAD,2016-05-25 17:00:00,2016-06-02 05:00:00,1.0
EUR_CAD,2016-05-26 01:00:00,2016-06-02 01:00:00,1.0
CAD_CHF,2016-05-26 01:00:00,2016-06-01 13:00:00,1.0
USD_JPY,2016-06-01 09:00:00,2016-06-03 09:00:00,-1.0
USD_JPY,2016-06-02 09:00:00,2016-06-03 09:00:00,-1.0
CHF_JPY,2016-06-02 13:00:00,2016-06-07 01:00:00,1.0
CHF_JPY,2016-06-03 01:00:00,2016-06-06 17:00:00,1.0
USD_JPY,2016-06-03 01:00:00,2016-06-03 09:00:00,-1.0
USD_JPY,2016-06-03 09:00:00,2016-06-03 17:00:00,-1.0
CHF_JPY,2016-06-03 13:00:00,2016-06-06 13:00:00,1.0
EUR_CAD,2016-06-09 17:00:00,2016-06-15 13:00:00,1.0
CAD_CHF,2016-06-10 09:00:00,2016-06-13 21:00:00,1.0
EUR_CAD,2016-06-10 09:00:00,2016-06-13 17:00:00,1.0
AUD_CAD,2016-06-15 13:00:00,2016-06-23 09:00:00,-1.0
USD_JPY,2016-06-15 21:00:00,2016-06-16 01:00:00,-1.0
CHF_JPY,2016-06-16 01:00:00,2016-06-16 09:00:00,-1.0
CHF_JPY,2016-06-17 01:00:00,2016-06-19 21:00:00,1.0
USD_JPY,2016-06-17 01:00:00,2016-06-23 09:00:00,1.0
CAD_CHF,2016-06-20 05:00:00,2016-06-23 21:00:00,-1.0
CAD_CHF,2016-06-22 01:00:00,2016-06-24 01:00:00,1.0
AUD_CAD,2016-06-23 13:00:00,2016-06-24 01:00:00,1.0
USD_JPY,2016-06-24 01:00:00,2016-06-24 05:00:00,1.0
EUR_CAD,2016-06-24 01:00:00,2016-06-24 05:00:00,1.0
CHF_JPY,2016-06-24 01:00:00,2016-06-24 05:00:00,1.0
EUR_CAD,2016-06-24 09:00:00,2016-06-28 13:00:00,1.0
AUD_CAD,2016-06-24 17:00:00,2016-06-27 13:00:00,1.0
EUR_CAD,2016-06-27 09:00:00,2016-06-28 13:00:00,1.0
USD_JPY,2016-06-27 21:00:00,2016-06-28 13:00:00,1.0
CHF_JPY,2016-06-27 21:00:00,2016-06-29 13:00:00,1.0
CAD_CHF,2016-06-28 01:00:00,2016-07-12 13:00:00,-1.0
CAD_CHF,2016-06-29 17:00:00,2016-06-30 13:00:00,1.0
CAD_CHF,2016-07-04 01:00:00,2016-07-15 09:00:00,-1.0
USD_JPY,2016-07-06 01:00:00,2016-07-11 05:00:00,1.0
CHF_JPY,2016-07-06 05:00:00,2016-07-06 13:00:00,1.0
AUD_CAD,2016-07-06 09:00:00,2016-07-08 13:00:00,-1.0
USD_JPY,2016-07-06 21:00:00,2016-07-08 13:00:00,-1.0
CAD_CHF,2016-07-07 05:00:00,2016-07-11 13:00:00,1.0
CHF_JPY,2016-07-07 13:00:00,2016-07-11 09:00:00,1.0
USD_JPY,2016-07-07 13:00:00,2016-07-11 05:00:00,1.0
USD_JPY,2016-07-08 01:00:00,2016-07-11 05:00:00,1.0
CHF_JPY,2016-07-08 01:00:00,2016-07-11 09:00:00,1.0
AUD_CAD,2016-07-08 09:00:00,2016-07-12 01:00:00,-1.0
CHF_JPY,2016-07-08 09:00:00,2016-07-11 05:00:00,1.0
CAD_CHF,2016-07-08 09:00:00,2016-07-11 13:00:00,1.0
AUD_CAD,2016-07-11 13:00:00,2016-07-18 21:00:00,1.0
AUD_CAD,2016-07-12 01:00:00,2016-07-14 13:00:00,1.000000000000011
CAD_CHF,2016-07-12 09:00:00,2016-07-25 09:00:00,1.0
CAD_CHF,2016-07-14 13:00:00,2016-07-21 17:00:00,1.0
CAD_CHF,2016-07-15 09:00:00,2016-07-20 13:00:00,1.0
CHF_JPY,2016-07-25 21:00:00,2016-07-26 09:00:00,-1.0
USD_JPY,2016-07-26 01:00:00,2016-07-27 01:00:00,1.0
AUD_CAD,2016-07-26 01:00:00,2016-08-05 09:00:00,-1.0
CAD_CHF,2016-07-26 13:00:00,2016-07-28 13:00:00,1.0
USD_JPY,2016-07-26 17:00:00,2016-07-27 01:00:00,1.0
USD_JPY,2016-07-29 01:00:00,2016-07-29 13:00:00,-1.0
USD_JPY,2016-08-02 05:00:00,2016-08-02 13:00:00,-1.0
CHF_JPY,2016-08-02 13:00:00,2016-08-05 09:00:00,-1.0
CAD_CHF,2016-08-03 09:00:00,2016-08-04 13:00:00,-1.0
CHF_JPY,2016-08-03 17:00:00,2016-08-18 21:00:00,1.0
CAD_CHF,2016-08-04 13:00:00,2016-08-24 13:00:00,0.13757546615376037
AUD_CAD,2016-08-05 09:00:00,2016-08-12 13:00:00,1.000000000000011
AUD_CAD,2016-08-08 05:00:00,2016-08-12 13:00:00,1.0
AUD_CAD,2016-08-08 13:00:00,2016-08-11 21:00:00,0.999999999999989
CAD_CHF,2016-08-09 13:00:00,2016-08-29 13:00:00,-0.3647148410885335
CAD_CHF,2016-08-09 21:00:00,2016-08-22 17:00:00,1.0
EUR_CAD,2016-08-11 13:00:00,2016-08-22 13:00:00,1.0
CAD_CHF,2016-08-11 17:00:00,2016-08-22 13:00:00,1.0
EUR_CAD,2016-08-12 01:00:00,2016-08-22 09:00:00,1.0
CAD_CHF,2016-08-12 01:00:00,2016-08-19 09:00:00,1.0
CAD_CHF,2016-08-15 05:00:00,2016-08-17 09:00:00,1.0
USD_JPY,2016-08-16 01:00:00,2016-08-16 09:00:00,-1.0
USD_JPY,2016-08-17 21:00:00,2016-08-22 01:00:00,1.0
CAD_CHF,2016-08-24 09:00:00,2016-09-02 13:00:00,-1.0
CAD_CHF,2016-08-25 13:00:00,2016-09-05 05:00:00,-1.0
CAD_CHF,2016-08-26 09:00:00,2016-09-06 05:00:00,-1.0
CAD_CHF,2016-08-26 17:00:00,2016-09-05 13:00:00,-1.0
CAD_CHF,2016-08-30 01:00:00,2016-09-12 05:00:00,1.0
CAD_CHF,2016-09-01 05:00:00,2016-09-06 05:00:00,-1.0
AUD_CAD,2016-09-01 13:00:00,2016-09-05 13:00:00,1.0
EUR_CAD,2016-09-02 13:00:00,2016-09-09 17:00:00,1.0
CAD_CHF,2016-09-02 13:00:00,2016-09-11 21:00:00,1.0
CAD_CHF,2016-09-05 05:00:00,2016-09-08 09:00:00,1.0
CAD_CHF,2016-09-06 05:00:00,2016-09-07 13:00:00,1.0
AUD_CAD,2016-09-08 05:00:00,2016-09-09 09:00:00,1.000000000000011
CHF_JPY,2016-09-12 21:00:00,2016-09-14 01:00:00,1.0
CAD_CHF,2016-09-16 05:00:00,2016-09-26 13:00:00,1.0
CAD_CHF,2016-09-16 13:00:00,2016-09-26 09:00:00,1.0
CHF_JPY,2016-09-16 17:00:00,2016-09-21 01:00:00,-1.0
AUD_CAD,2016-09-19 09:00:00,2016-09-23 17:00:00,-1.0
AUD_CAD,2016-09-20 01:00:00,2016-09-26 09:00:00,-1.0
USD_JPY,2016-09-21 09:00:00,2016-09-29 05:00:00,1.0
CHF_JPY,2016-09-21 09:00:00,2016-09-22 09:00:00,1.0
USD_JPY,2016-09-22 09:00:00,2016-09-29 05:00:00,1.0
AUD_CAD,2016-09-26 17:00:00,2016-10-06 09:00:00,0.999999999999989
AUD_CAD,2016-09-27 05:00:00,2016-09-29 05:00:00,1.0
CAD_CHF,2016-09-28 17:00:00,2016-09-29 17:00:00,1.0
CAD_CHF,2016-10-04 05:00:00,2016-10-07 17:00:00,1.0
CAD_CHF,2016-10-06 17:00:00,2016-10-14 05:00:00,-1.0
CAD_CHF,2016-10-10 13:00:00,2016-10-14 17:00:00,-1.0
EUR_CAD,2016-10-11 09:00:00,2016-10-14 09:00:00,-1.0
EUR_CAD,2016-10-11 21:00:00,2016-10-14 09:00:00,-1.0
CAD_CHF,2016-10-12 01:00:00,2016-10-16 21:00:00,-1.0
CAD_CHF,2016-10-14 05:00:00,2016-10-18 05:00:00,-1.0
EUR_CAD,2016-10-14 09:00:00,2016-10-19 09:00:00,-1.0
CAD_CHF,2016-10-17 21:00:00,2016-10-20 09:00:00,1.0
CAD_CHF,2016-10-18 05:00:00,2016-10-20 09:00:00,1.0
CHF_JPY,2016-10-19 09:00:00,2016-10-27 09:00:00,1.0
AUD_CAD,2016-10-19 13:00:00,2016-10-25 21:00:00,-1.0
CHF_JPY,2016-10-21 05:00:00,2016-10-27 05:00:00,1.0
AUD_CAD,2016-10-21 09:00:00,2016-10-25 21:00:00,-1.0
AUD_CAD,2016-10-23 21:00:00,2016-10-25 21:00:00,-1.0
CAD_CHF,2016-10-25 09:00:00,2016-10-28 05:00:00,1.0
AUD_CAD,2016-10-25 21:00:00,2016-10-27 09:00:00,1.0
USD_JPY,2016-11-02 09:00:00,2016-11-06 22:00:00,1.0
CAD_CHF,2016-11-03 09:00:00,2016-11-08 18:00:00,-1.0
USD_JPY,2016-11-03 13:00:00,2016-11-06 22:00:00,1.0
CAD_CHF,2016-11-07 02:00:00,2016-11-08 22:00:00,-1.0
CAD_CHF,2016-11-08 10:00:00,2016-11-08 22:00:00,-1.0
