entry_ts,exit_ts,strategy,pair,direction,entry_mode,r
2016-01-05 10:00:00,2016-01-06 22:00:00,rsi,USD_JPY,long,mid,-1.0
2016-01-05 10:00:00,2016-01-06 06:00:00,bb,CAD_CHF,short,mid,1.0
2016-01-05 10:00:00,2016-01-07 06:00:00,stoch,CHF_JPY,long,mid,-1.0
2016-01-05 10:00:00,2016-01-06 22:00:00,stoch,USD_JPY,long,mid,-1.0
2016-01-05 14:00:00,2016-01-06 22:00:00,stoch,CAD_CHF,short,mid,1.0
2016-01-05 18:00:00,2016-01-06 22:00:00,stoch,USD_JPY,long,mid,-1.0
2016-01-05 18:00:00,2016-01-07 06:00:00,stoch,CHF_JPY,long,mid,-1.0
2016-01-05 18:00:00,2016-01-06 22:00:00,rsi,USD_JPY,long,mid,-1.0
2016-01-06 02:00:00,2016-01-07 22:00:00,stoch,CHF_JPY,long,mid,1.0
2016-01-06 02:00:00,2016-01-07 06:00:00,rsi,USD_JPY,long,mid,-1.0
2016-01-06 02:00:00,2016-01-07 06:00:00,stoch,USD_JPY,long,mid,-1.0
2016-01-06 10:00:00,2016-01-07 06:00:00,rsi,USD_JPY,long,mid,-1.0
2016-01-06 10:00:00,2016-01-07 22:00:00,rsi,CHF_JPY,long,mid,1.0
2016-01-06 10:00:00,2016-01-07 22:00:00,stoch,CHF_JPY,long,mid,1.0
2016-01-06 10:00:00,2016-01-07 06:00:00,stoch,USD_JPY,long,mid,-1.0
2016-01-06 18:00:00,2016-01-13 18:00:00,rsi,CHF_JPY,long,mid,-0.6433573565406591
2016-01-07 02:00:00,2016-01-13 22:00:00,rsi,CHF_JPY,long,mid,-1.0
2016-01-07 02:00:00,2016-01-10 22:00:00,rsi,USD_JPY,long,mid,-1.0
2016-01-07 02:00:00,2016-01-10 22:00:00,stoch,USD_JPY,long,mid,-1.0
2016-01-07 06:00:00,2016-01-14 06:00:00,atr,USD_JPY,long,limit,0.0619620758144257
2016-01-07 10:00:00,2016-01-10 22:00:00,rsi,USD_JPY,long,mid,-1.0
2016-01-07 10:00:00,2016-01-14 10:00:00,rsi,CHF_JPY,long,mid,-0.4603637043140008
2016-01-07 10:00:00,2016-01-10 22:00:00,stoch,USD_JPY,long,mid,-1.0
2016-01-07 22:00:00,2016-01-10 22:00:00,stoch,USD_JPY,long,mid,-1.0
2016-01-07 22:00:00,2016-01-08 10:00:00,atr,NZD_CHF,short,limit,1.0
2016-01-07 22:00:00,2016-01-10 22:00:00,rsi,USD_JPY,long,mid,-1.0
2016-01-08 06:00:00,2016-01-08 14:00:00,atr,NZD_CHF,short,limit,1.0
2016-01-10 22:00:00,2016-01-17 22:00:00,stoch,USD_JPY,long,mid,0.0255905008061018
2016-01-10 22:00:00,2016-01-13 10:00:00,stoch,CHF_JPY,long,mid,-1.0
2016-01-11 02:00:00,2016-01-13 06:00:00,cci,EUR_USD,short,mid,1.0
