pair,entry_ts,exit_ts,r
CHF_JPY,2016-01-21 10:00:00,2016-01-21 18:00:00,1.0
EUR_CAD,2016-01-26 14:00:00,2016-01-27 18:00:00,1.0
EUR_CAD,2016-01-29 14:00:00,2016-02-02 10:00:00,1.0
EUR_CAD,2016-02-01 18:00:00,2016-02-02 10:00:00,1.0
CHF_JPY,2016-02-11 06:00:00,2016-02-15 02:00:00,1.0
CHF_JPY,2016-02-11 14:00:00,2016-02-18 18:00:00,-1.0
EUR_CAD,2016-02-17 14:00:00,2016-02-22 10:00:00,-1.0
GBP_CAD,2016-02-18 02:00:00,2016-02-18 22:00:00,1.0
EUR_GBP,2016-02-18 02:00:00,2016-02-18 10:00:00,1.0
CHF_JPY,2016-02-18 18:00:00,2016-02-22 18:00:00,-1.0
CHF_JPY,2016-02-19 06:00:00,2016-02-22 22:00:00,-1.0
EUR_CAD,2016-02-19 06:00:00,2016-02-22 10:00:00,-1.0
EUR_CAD,2016-02-22 02:00:00,2016-02-22 10:00:00,-1.0
CHF_JPY,2016-02-22 10:00:00,2016-02-25 22:00:00,1.0
CHF_JPY,2016-02-23 06:00:00,2016-02-25 02:00:00,1.0
EUR_GBP,2016-03-08 10:00:00,2016-03-10 10:00:00,1.0
EUR_GBP,2016-03-10 14:00:00,2016-03-11 10:00:00,1.0
EUR_GBP,2016-03-14 21:00:00,2016-03-15 17:00:00,-1.0
EUR_CAD,2016-03-16 17:00:00,2016-04-01 09:00:00,1.0
EUR_CAD,2016-03-18 05:00:00,2016-03-24 13:00:00,1.0
EUR_GBP,2016-03-20 21:00:00,2016-03-22 09:00:00,-1.0
EUR_CAD,2016-03-22 05:00:00,2016-03-24 09:00:00,1.0
EUR_CAD,2016-03-22 13:00:00,2016-03-23 21:00:00,1.0
CHF_JPY,2016-04-05 05:00:00,2016-04-07 05:00:00,-1.0
CHF_JPY,2016-04-06 05:00:00,2016-04-07 05:00:00,-1.0
CHF_JPY,2016-04-06 21:00:00,2016-04-07 05:00:00,-1.0
EUR_CAD,2016-04-12 09:00:00,2016-04-12 17:00:00,-1.0
CHF_JPY,2016-04-17 21:00:00,2016-04-18 13:00:00,1.0
EUR_CAD,2016-04-18 13:00:00,2016-04-20 13:00:00,-1.0
GBP_CAD,2016-04-26 13:00:00,2016-05-04 13:00:00,1.0
CHF_JPY,2016-04-28 01:00:00,2016-04-29 01:00:00,-1.0
EUR_GBP,2016-05-03 13:00:00,2016-05-16 21:00:00,1.0
EUR_GBP,2016-05-04 05:00:00,2016-05-12 13:00:00,1.0
EUR_GBP,2016-05-06 09:00:00,2016-05-16 21:00:00,1.0
CHF_JPY,2016-05-06 09:00:00,2016-05-09 05:00:00,1.0
EUR_GBP,2016-05-09 13:00:00,2016-05-16 21:00:00,1.0
EUR_GBP,2016-05-11 17:00:00,2016-05-16 21:00:00,1.0
CHF_JPY,2016-05-23 09:00:00,2016-05-30 01:00:00,1.0
EUR_CAD,2016-05-25 17:00:00,2016-06-02 05:00:00,1.0
EUR_CAD,2016-05-26 01:00:00,2016-06-02 01:00:00,1.0
EUR_CAD,2016-05-26 21:00:00,2016-06-02 05:00:00,1.0
EUR_CAD,2016-05-27 13:00:00,2016-06-01 13:00:00,1.0
EUR_CAD,2016-05-31 01:00:00,2016-06-01 13:00:00,1.0
CHF_JPY,2016-06-01 09:00:00,2016-06-03 09:00:00,-1.0
CHF_JPY,2016-06-02 09:00:00,2016-06-05 21:00:00,-1.0
CHF_JPY,2016-06-03 01:00:00,2016-06-06 17:00:00,1.0
CHF_JPY,2016-06-03 13:00:00,2016-06-06 13:00:00,1.0
EUR_GBP,2016-06-03 17:00:00,2016-06-05 21:00:00,-1.0
GBP_CAD,2016-06-06 09:00:00,2016-06-08 09:00:00,-1.0
GBP_CAD,2016-06-07 09:00:00,2016-06-08 17:00:00,-1.0
