instrument,name,type,ftmo,oanda,listed_for_financing,listed_with_explicit_query,financing_present,pip_size,dollar_per_pip_per_lot,median_h4_spread_r,expected_swap_per_lot_day_abs
EUR_USD,EUR/USD,forex,EURUSD.sim,EUR_USD,True,False,True,0.0001,10.0,0.01320068115513638,0.0272
GBP_USD,GBP/USD,forex,GBPUSD.sim,GBP_USD,True,False,True,0.0001,10.0,0.014761753074933742,0.0109
AUD_USD,AUD/USD,forex,AUDUSD.sim,AUD_USD,True,False,True,0.0001,10.0,0.019428793471929415,0.0168
USD_CAD,USD/CAD,forex,USDCAD.sim,USD_CAD,True,False,True,0.0001,10.0,0.014155736956226657,0.0269
USD_JPY,USD/JPY,forex,USDJPY.sim,USD_JPY,True,False,True,0.01,1000.0,0.012317221234885706,0.0418
XAU_USD,Gold/USD,commodity,XAUUSD.sim,XAU_USD,False,False,False,0.01,1.0,0.020131190945151364,nan
XAG_USD,Silver/USD,commodity,XAGUSD.sim,XAG_USD,False,False,False,0.001,5.0,0.09006664379085029,nan
WTICO_USD,WTI Crude Oil/USD,commodity,USOIL.sim,WTICO_USD,False,False,False,0.01,10.0,0.05060301931347564,nan
BCO_USD,Brent Crude Oil/USD,commodity,UKOIL.sim,BCO_USD,False,False,False,0.01,10.0,0.0499397602596643,nan
NATGAS_USD,Natural Gas/USD,commodity,NATGAS.sim,NATGAS_USD,False,False,False,0.001,10.0,0.23470243084660913,nan
XCU_USD,Copper/USD,commodity,XCUUSD.sim,XCU_USD,False,False,False,0.0001,2.5,0.04889385795356572,nan
XPT_USD,Platinum/USD,commodity,XPT/USD,XPT_USD,False,False,False,0.01,1.0,0.26865610461569467,nan
XPD_USD,Palladium/USD,commodity,XPD/USD,XPD_USD,False,False,False,0.01,1.0,0.3882213638216511,nan
CORN_USD,Corn/USD,commodity,CORN.c,CORN_USD,False,False,False,0.01,1.0,0.23268509802910248,nan
WHEAT_USD,Wheat/USD,commodity,WHEAT.c,WHEAT_USD,False,False,False,0.01,1.0,0.18795226178582686,nan
SOYBN_USD,Soybean/USD,commodity,SOYBEAN.c,SOYBN_USD,False,False,False,0.01,1.0,0.16268539368268592,nan
SUGAR_USD,Sugar/USD,commodity,SUGAR.c,SUGAR_USD,False,False,False,0.001,0.1,0.153181581446647,nan
